date,mktrf,rf
31/12/2003,0.000100,0.00004
02/01/2004,-0.001700,0.00003
05/01/2004,0.012000,0.00003
06/01/2004,0.002000,0.00003
07/01/2004,0.003400,0.00003
08/01/2004,0.004500,0.00003
09/01/2004,-0.007200,0.00003
12/01/2004,0.005700,0.00003
13/01/2004,-0.005100,0.00003
14/01/2004,0.008000,0.00003
15/01/2004,0.001500,0.00003
16/01/2004,0.007200,0.00003
20/01/2004,0.001500,0.00003
21/01/2004,0.006400,0.00003
22/01/2004,-0.003200,0.00003
23/01/2004,-0.001400,0.00003
26/01/2004,0.011200,0.00003
27/01/2004,-0.009600,0.00003
28/01/2004,-0.014400,0.00003
29/01/2004,0.002500,0.00003
30/01/2004,-0.001500,0.00003
02/02/2004,0.002700,0.00003
03/02/2004,0.000000,0.00003
04/02/2004,-0.009700,0.00003
05/02/2004,0.002300,0.00003
06/02/2004,0.013900,0.00003
09/02/2004,-0.001000,0.00003
10/02/2004,0.005600,0.00003
11/02/2004,0.010400,0.00003
12/02/2004,-0.004600,0.00003
13/02/2004,-0.005700,0.00003
17/02/2004,0.009800,0.00003
18/02/2004,-0.003900,0.00003
19/02/2004,-0.005400,0.00003
20/02/2004,-0.003000,0.00003
23/02/2004,-0.005100,0.00003
24/02/2004,-0.001400,0.00003
25/02/2004,0.005400,0.00003
26/02/2004,0.002900,0.00003
27/02/2004,0.001100,0.00003
01/03/2004,0.010200,0.00004
02/03/2004,-0.005900,0.00004
03/03/2004,0.001400,0.00004
04/03/2004,0.004400,0.00004
05/03/2004,0.002400,0.00004
08/03/2004,-0.008400,0.00004
09/03/2004,-0.006600,0.00004
10/03/2004,-0.015000,0.00004
11/03/2004,-0.014200,0.00004
12/03/2004,0.013400,0.00004
15/03/2004,-0.015600,0.00004
16/03/2004,0.004300,0.00004
17/03/2004,0.012200,0.00004
18/03/2004,-0.002000,0.00004
19/03/2004,-0.010000,0.00004
22/03/2004,-0.014200,0.00004
23/03/2004,-0.000900,0.00004
24/03/2004,-0.002700,0.00004
25/03/2004,0.016800,0.00004
26/03/2004,0.000000,0.00004
29/03/2004,0.013400,0.00004
30/03/2004,0.004700,0.00004
31/03/2004,0.000000,0.00004
01/04/2004,0.006400,0.00004
02/04/2004,0.009000,0.00004
05/04/2004,0.007900,0.00004
06/04/2004,-0.002800,0.00004
07/04/2004,-0.005000,0.00004
08/04/2004,-0.001400,0.00004
12/04/2004,0.005000,0.00004
13/04/2004,-0.015000,0.00004
14/04/2004,-0.002100,0.00004
15/04/2004,-0.000400,0.00004
16/04/2004,0.004600,0.00004
19/04/2004,0.002200,0.00004
20/04/2004,-0.014800,0.00004
21/04/2004,0.006000,0.00004
22/04/2004,0.014400,0.00004
23/04/2004,-0.000100,0.00004
26/04/2004,-0.003300,0.00004
27/04/2004,0.001300,0.00004
28/04/2004,-0.014600,0.00004
29/04/2004,-0.008600,0.00004
30/04/2004,-0.006600,0.00004
03/05/2004,0.008500,0.00003
04/05/2004,0.002100,0.00003
05/05/2004,0.002700,0.00003
06/05/2004,-0.008000,0.00003
07/05/2004,-0.014800,0.00003
10/05/2004,-0.012900,0.00003
11/05/2004,0.009500,0.00003
12/05/2004,0.001200,0.00003
13/05/2004,-0.000800,0.00003
14/05/2004,-0.001700,0.00003
17/05/2004,-0.011300,0.00003
18/05/2004,0.007600,0.00003
19/05/2004,-0.001900,0.00003
20/05/2004,0.000200,0.00003
21/05/2004,0.004400,0.00003
24/05/2004,0.002900,0.00003
25/05/2004,0.016600,0.00003
26/05/2004,0.002900,0.00003
