,Depth,Neurons,Chi2,Pesaran,Portmanteau1,Portmanteau3,Portmanteau5
0,1.0,80.0,4.996761133603238,0.715615463117863,76518168.45845564,98382991.3200124,144685735.4132895
1,1.0,80.0,6.361657537508931,-2.3769493205836456,97129283.67817344,101986311.8196774,215722459.21615592
2,1.0,80.0,0.7203143605620386,-2.235398896127061,92428489.38785444,109795508.36637975,173910380.85031956
3,2.0,80.0,6.341573390489799,1.7341981950683358,3560719.5486699035,8902005.82794543,13782309.593715753
4,2.0,80.0,0.7545288560768437,0.2384477563448133,1549325.2746156806,3317211.271456827,6628914.904810215
5,3.0,120.0,4.750480273080892,-2.285330617319893,511364.89245979924,1372790.8338673955,2185898.1419146536
6,3.0,100.0,3.215051202667301,-1.6832837086092902,230425.2170039275,857297.2753265741,2145397.880188277
7,3.0,100.0,0.33380963721520995,-1.8220111998394504,441687.8583616375,1046037.9125913571,1521687.687278619
8,3.0,100.0,0.09659442724458203,-1.6890454207749883,651666.8446845118,1631816.2528974598,2403313.230568025
9,3.0,100.0,0.4534571723426212,-0.0631367680680833,403363.4711820016,910123.6383143537,1943345.665542416
10,3.0,80.0,2.126792093355561,-2.2213508879404773,499783.39946731576,1003302.3799229374,2143309.4065115512
11,5.0,100.0,0.09413352385488608,2.5297304424833458,51995.69095124197,106925.46299553967,108197.49142248833
