,Depth,Neurons,Chi2,Pesaran,Portmanteau1,Portmanteau3,Portmanteau5
0,1.0,120.0,2.2239590703750065,174.15858406631622,130344282.86633123,212481371.60711995,321471648.4134278
1,1.0,120.0,4.945038915800359,93.83416324594782,147014687.06064883,230494375.67389256,411333799.37926
2,1.0,120.0,6.041746040385348,38.555329912121884,139393462.0039652,166396288.6569532,255040311.81520855
3,1.0,120.0,0.7302128122788876,35.35310257381776,120233222.51339333,191168820.91213888,273538920.8637331
4,1.0,120.0,154.304958362815,-1.6458529938778275,147434612.4388486,201924793.16176364,299941380.2395869
5,1.0,120.0,2.776084471779241,67.24604911468721,104282320.11050089,158328309.2501961,257915102.3601453
6,1.0,120.0,6.1721983345126,155.3474582253227,172384827.9048066,246940193.7449987,372740932.21886814
7,1.0,120.0,4.010765797637838,77.31644918318065,111597922.19660985,129424251.51486163,273573817.3534762
8,1.0,120.0,2.097871877211125,65.8187046229226,117916662.73602426,142233275.27393836,263971018.80537704
9,1.0,120.0,4.684439122625593,123.96114934838629,135745448.61484438,243216130.23935992,359927659.0584733
10,1.0,120.0,1.4343765307788603,110.00296448772124,96489918.82005322,141954876.97795993,241869433.35666475
11,1.0,120.0,57.88533173678768,2.172542529458584,76730783.45015702,116392503.63000211,200902721.2410909
12,1.0,100.0,4.224993196538398,18.913624818237373,194390437.0251106,355794566.1837551,436025576.47983545
13,1.0,100.0,147.8974146845915,-1.8965129844989561,152856193.05831897,149369012.09628943,195365383.63180873
14,1.0,100.0,0.12462853099657105,15.052521395752125,93924975.39908578,146752483.4565928,192315627.12499815
15,1.0,100.0,375.4654003156806,-1.6042245745951593,79445468.09548427,97311047.70520064,158229217.29399467
16,1.0,100.0,0.8292167855004626,13.291509672280887,119279125.25646964,110590609.27910085,192570403.22101337
17,1.0,100.0,405.8481031949056,-2.4087529201533453,96435621.75999832,105212418.27283564,99829732.02060896
18,1.0,100.0,326.42002939095414,-2.3974919694229793,106207073.95332533,138936285.7526226,149535384.8972764
19,1.0,100.0,749.1821259456812,-0.6119576798136679,82332692.272679,103259762.79320414,141628323.69559553
20,1.0,100.0,2.5289718608828173,20.36687044583844,157751881.92990395,186202445.42438203,254575562.0805265
21,1.0,100.0,208.16555815598977,1.5829241964529077,96420721.06370798,105267800.56764121,147205954.8745877
22,1.0,100.0,170.70266151417843,2.100566794842015,111478711.58637778,130824090.09156466,210171189.58804634
23,1.0,100.0,733.3724922440538,-1.068373593980097,145329343.19709402,184441573.74585745,295930501.9038978
24,1.0,100.0,1285.2550590540468,1.771951866447985,84511752.51111573,150730776.12989795,203713891.56846827
25,1.0,80.0,202.5863604201818,-2.1789615957023325,105385352.20930286,94375807.74442005,173249525.29833898
26,1.0,80.0,6.58884232297393,2.8887379950547674,117052331.38482659,104561891.65138283,148094028.43873262
27,1.0,80.0,0.7760191585478692,-12.024316888023268,150431911.2720704,141991239.1946585,242756128.74165115
28,1.0,80.0,0.07864801611059707,-14.353950911592632,176629782.26391408,179080928.7616306,261484746.32604143
29,1.0,80.0,1.8477548576715834,-17.223752451576175,75919305.2132717,79015094.44408913,132863428.36780429
30,1.0,80.0,291.5215261525064,-2.2069326245636627,66551966.96829796,69279046.70012458,138357892.66089955
31,1.0,80.0,266.7229086159038,-1.8296587815637433,128483429.4280536,196087761.81809536,326271226.2389083
32,1.0,80.0,2.667229086159038,-1.7523048674350516,114784480.3379046,184232335.23914444,293050764.97172934
33,1.0,80.0,303.24153921515267,1.5344150174309183,127096877.39541526,121514430.77278346,228850746.90055606
34,1.0,80.0,3.328895662112883,-10.809686444942374,70477279.57326356,63317393.22303891,107598955.23845501
35,1.0,80.0,16.148957709682687,0.25576183063525276,106253040.42248291,115363114.02237944,210460912.4315063
36,1.0,80.0,750.0854623632505,-2.5127782848358806,83304365.92195487,90774170.74066265,191004463.66223797
37,2.0,120.0,2.1847711315517335,62.81005200651537,7007746.716585239,8956121.739568405,13307031.529283281
38,2.0,120.0,0.2257225276220541,37.40711476205167,5058522.212611455,7296528.704460366,11497988.022628486
39,2.0,120.0,0.03536711478800414,35.69074532065727,3451871.604484754,3274595.3528001606,8172664.396522989
40,2.0,120.0,1.8031785772601099,65.22705362905897,6835984.564715239,5881111.386006974,10438703.70538863
41,2.0,120.0,5.596135633810483,67.93685789852945,7085983.560505772,10643874.781929292,14933068.92213889
42,2.0,120.0,5.880640069667447,81.30666657897689,7929658.508578933,9426314.190952031,20524761.0037537
43,2.0,120.0,1.9662004027649267,77.14092618063285,6808087.851206973,5870143.380638217,8560072.752223408
44,2.0,120.0,1.8120502911881564,68.22298136175735,5845364.645452488,11022214.97398783,19727432.036217846
45,2.0,120.0,0.002786697871877211,103.44609894829641,7986239.837571075,16157811.189669263,26561995.512058116
46,2.0,100.0,5.303477929570565,42.11689356586251,5718341.042896208,4683049.898158888,10820404.665696725
47,2.0,100.0,0.16737604092962502,19.78940788611435,6947147.193185085,6259698.514488123,10319349.241528869
48,2.0,100.0,4.959723507320525,23.85470031750463,5494541.121289059,3527519.969576019,8632034.361274602
49,2.0,100.0,4.570881184346596,40.91087882566077,5420255.12072192,4500568.97774762,10072838.102188794
50,2.0,100.0,1.8120502911881564,47.45422622338112,6615917.073308359,5580219.519440689,11287379.707452377
51,2.0,100.0,4.252163500789201,43.036208958343856,4672522.023650221,2638785.201839909,4269739.610839435
52,2.0,100.0,0.616600446307081,29.86835350561314,6992802.600216246,5444281.180579699,8498757.52789018
53,2.0,100.0,2.050356501387906,44.641486538161345,5782699.661062005,5968636.23836072,8525402.546253093
54,2.0,100.0,3.59903118706798,28.559880941736914,6583190.521939478,5801014.924832372,8914913.146405185
55,2.0,100.0,3.1507538235454198,40.47612194166303,5836140.355203249,4520382.9772160975,10574937.214904726
56,2.0,100.0,1.7504054863114353,60.40874127853904,5320349.457174145,5270169.386365105,8348932.608256413
57,2.0,80.0,0.413922603820824,26.27015974128011,4307619.27872889,2351260.084220178,4134370.950985323
58,2.0,80.0,5.880640069667447,23.04140109970398,5103849.904998085,2451848.9946677326,5519415.856367653
59,2.0,80.0,0.6587492516192238,8.200418960560445,4312389.322049152,1974689.8112547833,5215752.886680797
60,2.0,80.0,2.4457192619604853,18.42670153319352,5456796.674713952,4139413.7219451857,7717005.582858289
61,2.0,80.0,1.1568714962172753,17.81212628583826,6748639.671613667,3479450.99731124,8842584.48842707
62,2.0,80.0,0.10885538562020355,17.258658127408513,5126372.506849094,2496799.3104058066,4291564.287260248
63,2.0,80.0,0.002786697871877211,15.152579656708738,5632169.671053202,3470058.082751575,5258048.477844623
64,2.0,80.0,0.6114298154901213,22.861459039377987,5146313.897763591,3551368.3313368466,4550299.819361714
65,2.0,80.0,6.009350677624775,31.137950938143238,5369682.758446423,3908804.6364017273,5060460.41974847
66,2.0,80.0,0.8292167855004626,31.00047026092537,5348857.742375555,3707881.4776515956,6110072.838431777
67,2.0,80.0,3.6115604419528657,14.025240121644135,5891574.39193797,2301216.7698617377,4434116.7243613545
68,3.0,120.0,0.3295705655037283,146.65287693990305,825383.2250049578,733744.9379846817,1021481.7784748758
