,Chi2,Pesaran,Portmanteau1,Portmanteau3,Portmanteau5,MSPE_r,MSPE_sigma
0,2.109740405,2.300627101,959029.7073,955499.289,1246641.008,0.000537679,4.90E-07
1,1.017868839,2.032874098,926431.6214,616518.7231,937245.017,0.000538346,4.92E-07
2,2.008352661,-0.789817843,831814.6544,974027.7978,1799376.08,0.000538462,4.92E-07
3,4.954407107,1.702448817,914382.7169,671371.709,822763.2872,0.000537413,4.90E-07
4,1.509782014,2.038856151,840722.7529,765444.1312,962688.3243,0.000537903,4.91E-07
5,3.580301898,0.720612405,872803.0789,632761.8749,860577.8338,0.000538333,4.92E-07
6,0.925034096,-1.659237903,962631.2868,650024.3539,863115.1358,0.000537858,4.91E-07
7,4.764037325,-0.280136994,873308.2715,767729.9126,872622.3887,0.000537675,4.91E-07
8,0.00815232,0.618507684,689871.8813,724506.094,856570.8915,0.000538061,4.92E-07
9,0.08901286,-1.14554186,679563.2706,676345.9372,831831.4025,0.000537757,4.91E-07
10,0.002604428,2.480000924,687537.7851,405898.2224,604580.1511,0.000537882,4.91E-07
11,0.133288128,-1.850077095,804409.8273,592249.9391,988400.9021,0.000537585,4.92E-07
12,0.389600783,2.041794432,894134.3006,804881.9983,968556.3652,0.000538,4.92E-07
13,0.461230245,-0.334467766,805429.0875,462520.182,657852.9489,0.000537306,4.91E-07
14,1.098621503,2.17122656,832348.2959,722477.4875,1004361.476,0.000538043,4.92E-07
15,4.280029897,0.974476287,822857.2636,612479.4457,742180.6998,0.000537287,4.89E-07
16,5.885759638,-0.809169234,1022283.813,894491.2853,1314344.972,0.00053792,4.91E-07
17,0.069179143,-1.943224516,549149.8825,665366.7138,851875.6466,0.000537937,4.90E-07
18,0.280862081,-2.086014966,656315.8515,650492.0287,1302870.269,0.000537877,4.92E-07
19,0.808158485,1.17221727,843928.4491,671021.6146,987871.4425,0.000538148,4.92E-07
20,4.231439601,2.534470595,748613.1172,683701.3639,811739.662,0.000538027,4.92E-07
21,0.009631759,-1.134435028,1020981.394,931078.0804,939820.4048,0.000537915,4.91E-07
22,0.002604428,-0.853855028,929659.7625,653095.8235,1058848.408,0.000538404,4.93E-07
23,4.510452384,0.64617085,793201.7964,789055.7289,1137167.029,0.000537951,4.91E-07
24,6.292558889,-2.259601424,1024098.243,1432961.818,2280090.607,0.000538173,4.91E-07
25,0.04167084,2.156515567,1057092.717,781538.3716,930220.265,0.000537828,4.90E-07
